[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abg$b.class [ 44/4976 | 0% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abg$c.class [ 45/4976 | 0% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abg$d.class [ 46/4976 | 0% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abg.class [ 47/4976 | 0% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abh.class [ 48/4976 | 0% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abi.class [ 49/4976 | 0% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abj.class [ 50/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abk.class [ 51/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abl.class [ 52/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abm.class [ 53/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abn.class [ 54/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abo.class [ 55/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abp.class [ 56/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abq.class [ 57/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abr.class [ 58/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abs.class [ 59/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abt.class [ 60/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abu.class [ 61/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abv.class [ 62/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abw.class [ 63/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abx.class [ 64/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aby.class [ 65/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\abz.class [ 66/4976 | 1% ]
